#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.92930  0.007129  0.004188  0.001807     1.702
   0.00634  0.99372  0.00214  0.93543  0.006880  0.004081  0.001894     1.686
   0.01739  0.98277  0.00365  0.94748  0.006420  0.003882  0.002074     1.654
   0.03029  0.96999  0.00539  0.96000  0.005991  0.003685  0.002261     1.626
   0.04475  0.95567  0.00731  0.97260  0.005600  0.003498  0.002448     1.601
   0.06028  0.94026  0.00934  0.98463  0.005259  0.003327  0.002626     1.581
   0.07646  0.92422  0.01142  0.99601  0.004961  0.003171  0.002794     1.564
   0.09297  0.90784  0.01350  1.00651  0.004703  0.003032  0.002948     1.551
   0.10966  0.89128  0.01556  1.01624  0.004476  0.002906  0.003091     1.540
   0.12644  0.87462  0.01759  1.02534  0.004274  0.002791  0.003225     1.532
   0.14325  0.85793  0.01959  1.03387  0.004092  0.002685  0.003351     1.524
   0.16009  0.84120  0.02155  1.04192  0.003926  0.002586  0.003470     1.518
   0.17694  0.82446  0.02348  1.04962  0.003772  0.002493  0.003585     1.513
   0.19380  0.80771  0.02537  1.05698  0.003628  0.002405  0.003696     1.508
   0.21066  0.79095  0.02723  1.06407  0.003493  0.002322  0.003804     1.504
   0.22752  0.77419  0.02905  1.07100  0.003364  0.002242  0.003912     1.501
   0.24438  0.75742  0.03083  1.07768  0.003242  0.002165  0.004018     1.498
   0.26124  0.74066  0.03257  1.08427  0.003124  0.002090  0.004125     1.495
   0.27810  0.72389  0.03428  1.09074  0.003010  0.002017  0.004232     1.492
   0.29495  0.70712  0.03594  1.09708  0.002900  0.001947  0.004340     1.489
   0.31179  0.69035  0.03757  1.10344  0.002792  0.001878  0.004452     1.487
   0.32863  0.67359  0.03916  1.10972  0.002688  0.001811  0.004566     1.484
   0.34546  0.65683  0.04071  1.11592  0.002586  0.001745  0.004682     1.482
   0.36228  0.64008  0.04221  1.12220  0.002485  0.001679  0.004805     1.479
   0.37909  0.62333  0.04367  1.12846  0.002386  0.001615  0.004932     1.477
   0.39589  0.60659  0.04509  1.13463  0.002289  0.001552  0.005062     1.475
   0.41267  0.58987  0.04646  1.14091  0.002193  0.001490  0.005200     1.472
   0.42944  0.57315  0.04778  1.14716  0.002099  0.001429  0.005342     1.470
   0.44619  0.55645  0.04905  1.15345  0.002007  0.001368  0.005490     1.467
   0.46292  0.53976  0.05026  1.15976  0.001916  0.001308  0.005643     1.465
   0.47963  0.52309  0.05143  1.16608  0.001827  0.001248  0.005799     1.463
   0.49632  0.50644  0.05253  1.17244  0.001740  0.001189  0.005956     1.462
   0.51299  0.48980  0.05357  1.17882  0.001655  0.001131  0.006107     1.463
   0.52963  0.47319  0.05455  1.18504  0.001575  0.001074  0.006235     1.466
   0.54624  0.45660  0.05546  1.19133  0.001500  0.001018  0.006330     1.474
   0.56282  0.44004  0.05630  1.19738  0.001435  0.000964  0.006348     1.488
   0.57937  0.42351  0.05707  1.20340  0.001382  0.000911  0.006235     1.516
   0.59589  0.40701  0.05776  1.20914  0.001352  0.000862  0.005878     1.569
   0.61236  0.39055  0.05837  1.21531  0.001361  0.000816  0.005132     1.669
   0.62880  0.37412  0.05889  1.22339  0.001438  0.000771  0.003840     1.864
   0.64519  0.35774  0.05932  1.23744  0.001610  0.000720  0.002438     2.236
   0.66153  0.34140  0.05965  1.26008  0.001853  0.000655  0.001120     2.831
   0.67782  0.32511  0.05988  1.27693  0.002017  0.000608  0.000442     3.316
   0.69405  0.30888  0.06000  1.28215  0.002039  0.000593  0.000319     3.438
   0.71022  0.29272  0.06001  1.28852  0.002008  0.000576  0.000279     3.486
   0.72631  0.27662  0.05989  1.29558  0.001947  0.000558  0.000284     3.491
   0.74233  0.26060  0.05965  1.30325  0.001868  0.000538  0.000320     3.470
   0.75827  0.24467  0.05927  1.31148  0.001780  0.000519  0.000380     3.432
   0.77411  0.22884  0.05875  1.32027  0.001688  0.000498  0.000457     3.387
   0.78983  0.21313  0.05807  1.32966  0.001595  0.000478  0.000552     3.339
   0.80543  0.19755  0.05723  1.33968  0.001500  0.000456  0.000667     3.287
   0.82087  0.18214  0.05622  1.35031  0.001408  0.000435  0.000795     3.240
   0.83613  0.16693  0.05503  1.36160  0.001319  0.000413  0.000938     3.195
   0.85117  0.15196  0.05365  1.37361  0.001231  0.000390  0.001098     3.154
   0.86591  0.13730  0.05207  1.38637  0.001146  0.000368  0.001276     3.116
   0.88029  0.12303  0.05029  1.39998  0.001062  0.000345  0.001485     3.079
   0.89417  0.10929  0.04832  1.41439  0.000981  0.000322  0.001717     3.046
   0.90742  0.09622  0.04618  1.42965  0.000902  0.000299  0.001993     3.013
   0.91986  0.08399  0.04389  1.44561  0.000826  0.000277  0.002310     2.983
   0.93132  0.07278  0.04150  1.46214  0.000753  0.000255  0.002693     2.951
   0.94168  0.06271  0.03908  1.47891  0.000684  0.000234  0.003137     2.920
   0.95091  0.05380  0.03667  1.49572  0.000620  0.000215  0.003682     2.886
   0.95903  0.04603  0.03431  1.51215  0.000561  0.000197  0.004306     2.853
   0.96614  0.03929  0.03203  1.52810  0.000507  0.000180  0.005058     2.817
   0.97238  0.03346  0.02983  1.54327  0.000457  0.000165  0.005950     2.780
   0.97787  0.02840  0.02771  1.55741  0.000412  0.000150  0.007005     2.741
   0.98273  0.02399  0.02566  1.57018  0.000371  0.000137  0.008222     2.704
   0.98707  0.02013  0.02367  1.58136  0.000333  0.000125  0.009698     2.663
   0.99097  0.01674  0.02173  1.59017  0.000299  0.000114  0.011391     2.623
   0.99451  0.01376  0.01982  1.59609  0.000267  0.000103  0.013460     2.580
   0.99774  0.01114  0.01793  1.59759  0.000238  0.000094  0.015826     2.538
   1.00071  0.00883  0.01606  1.59330  0.000212  0.000085  0.018449     2.500
   1.00346  0.00682  0.01419  1.58166  0.000188  0.000076  0.021606     2.457
   1.00603  0.00508  0.01231  1.55889  0.000167  0.000069  0.025128     2.414
   1.00843  0.00360  0.01041  1.52120  0.000149  0.000063  0.028519     2.377
   1.01069  0.00238  0.00851  1.46556  0.000133  0.000057  0.031869     2.338
   1.01284  0.00141  0.00659  1.38771  0.000121  0.000052  0.034257     2.307
   1.01488  0.00070  0.00467  1.28626  0.000111  0.000049  0.035553     2.275
   1.01683  0.00025  0.00277  1.16222  0.000105  0.000046  0.034603     2.256
   1.01871  0.00003  0.00091  1.02296  0.000101  0.000045  0.032052     2.242
   1.02053  0.00003 -0.00091  0.87219  0.000099  0.000045  0.028351     2.223
   1.02241  0.00025 -0.00277  0.71206  0.000100  0.000045  0.022569     2.239
   1.02436  0.00070 -0.00467  0.54395  0.000100  0.000045  0.017879     2.202
   1.02641  0.00141 -0.00659  0.37545  0.000107  0.000048  0.011162     2.238
   1.02855  0.00238 -0.00851  0.21656  0.000108  0.000049  0.006506     2.210
   1.03081  0.00360 -0.01041  0.06834  0.000125  0.000056  0.001755     2.230
   1.03322  0.00508 -0.01231 -0.06221  0.000125  0.000056  0.001598     2.230
   1.03578  0.00682 -0.01419 -0.17892  0.000142  0.000063  0.003945     2.253
   1.03853  0.00883 -0.01606 -0.28042  0.000152  0.000068  0.005838     2.238
   1.04150  0.01114 -0.01793 -0.37009  0.000168  0.000074  0.006799     2.269
   1.04473  0.01376 -0.01982 -0.44854  0.000182  0.000081  0.007615     2.265
   1.04827  0.01674 -0.02173 -0.51739  0.000201  0.000088  0.007817     2.287
   1.05217  0.02013 -0.02367 -0.57907  0.000218  0.000095  0.008063     2.287
   1.05651  0.02399 -0.02566 -0.63421  0.000239  0.000104  0.007930     2.304
   1.06138  0.02840 -0.02771 -0.68364  0.000261  0.000113  0.007774     2.312
   1.06687  0.03346 -0.02983 -0.72849  0.000285  0.000123  0.007506     2.323
   1.07310  0.03929 -0.03203 -0.76923  0.000311  0.000133  0.007182     2.334
   1.08022  0.04603 -0.03431 -0.80637  0.000340  0.000145  0.006824     2.344
   1.08834  0.05380 -0.03667 -0.83997  0.000372  0.000158  0.006426     2.356
   1.09756  0.06271 -0.03908 -0.87021  0.000406  0.000172  0.006030     2.366
   1.10792  0.07278 -0.04150 -0.89722  0.000443  0.000186  0.005644     2.376
   1.11939  0.08399 -0.04389 -0.92075  0.000483  0.000202  0.005253     2.388
   1.13182  0.09622 -0.04618 -0.94106  0.000524  0.000218  0.004901     2.398
   1.14507  0.10929 -0.04832 -0.95851  0.000565  0.000235  0.004585     2.406
   1.15896  0.12303 -0.05029 -0.97297  0.000609  0.000252  0.004267     2.419
   1.17333  0.13730 -0.05207 -0.98534  0.000651  0.000268  0.004016     2.426
   1.18807  0.15196 -0.05365 -0.99546  0.000694  0.000285  0.003758     2.437
   1.20311  0.16693 -0.05503 -1.00392  0.000737  0.000301  0.003539     2.446
   1.21837  0.18214 -0.05622 -1.01096  0.000780  0.000318  0.003339     2.455
   1.23381  0.19755 -0.05723 -1.01675  0.000822  0.000334  0.003153     2.464
   1.24941  0.21313 -0.05807 -1.02147  0.000865  0.000350  0.002981     2.473
   1.26514  0.22884 -0.05875 -1.02529  0.000907  0.000365  0.002824     2.483
   1.28097  0.24467 -0.05927 -1.02842  0.000949  0.000381  0.002684     2.491
   1.29691  0.26060 -0.05965 -1.03085  0.000992  0.000397  0.002548     2.501
   1.31293  0.27662 -0.05989 -1.03271  0.001034  0.000412  0.002423     2.510
   1.32903  0.29272 -0.06001 -1.03407  0.001077  0.000427  0.002306     2.520
   1.34519  0.30888 -0.06000 -1.03499  0.001120  0.000443  0.002197     2.530
   1.36143  0.32511 -0.05988 -1.03558  0.001162  0.000458  0.002097     2.539
   1.37771  0.34140 -0.05965 -1.03577  0.001205  0.000473  0.001998     2.550
   1.39406  0.35774 -0.05932 -1.03569  0.001249  0.000488  0.001908     2.560
   1.41045  0.37412 -0.05889 -1.03538  0.001292  0.000503  0.001824     2.569
   1.42688  0.39055 -0.05837 -1.03482  0.001335  0.000518  0.001743     2.579
   1.44336  0.40701 -0.05776 -1.03402  0.001380  0.000533  0.001664     2.591
   1.45987  0.42351 -0.05707 -1.03311  0.001424  0.000547  0.001594     2.600
   1.47642  0.44004 -0.05630 -1.03195  0.001469  0.000562  0.001522     2.612
   1.49300  0.45660 -0.05546 -1.03069  0.001514  0.000577  0.001456     2.623
   1.50961  0.47319 -0.05455 -1.02933  0.001559  0.000592  0.001395     2.634
   1.52625  0.48980 -0.05357 -1.02779  0.001606  0.000607  0.001333     2.646
   1.54292  0.50644 -0.05253 -1.02615  0.001653  0.000622  0.001274     2.658
   1.55961  0.52309 -0.05143 -1.02443  0.001700  0.000637  0.001219     2.671
   1.57632  0.53976 -0.05026 -1.02254  0.001750  0.000652  0.001161     2.685
   1.59305  0.55645 -0.04905 -1.02061  0.001799  0.000667  0.001108     2.699
   1.60980  0.57315 -0.04778 -1.01858  0.001850  0.000682  0.001057     2.714
   1.62657  0.58987 -0.04646 -1.01640  0.001903  0.000697  0.001003     2.731
   1.64335  0.60659 -0.04509 -1.01414  0.001958  0.000712  0.000950     2.749
   1.66015  0.62333 -0.04367 -1.01176  0.002016  0.000728  0.000897     2.770
   1.67696  0.64008 -0.04221 -1.00928  0.002076  0.000744  0.000844     2.792
   1.69378  0.65683 -0.04071 -1.00665  0.002141  0.000760  0.000788     2.818
   1.71061  0.67359 -0.03916 -1.00388  0.002211  0.000776  0.000730     2.848
   1.72745  0.69035 -0.03757 -1.00097  0.002287  0.000793  0.000671     2.883
   1.74429  0.70712 -0.03594 -0.99784  0.002374  0.000811  0.000604     2.927
   1.76115  0.72389 -0.03428 -0.99456  0.002470  0.000829  0.000534     2.979
   1.77800  0.74066 -0.03257 -0.99108  0.002583  0.000848  0.000457     3.045
   1.79486  0.75742 -0.03083 -0.98744  0.002715  0.000868  0.000375     3.129
   1.81172  0.77419 -0.02905 -0.98368  0.002874  0.000888  0.000286     3.237
   1.82858  0.79095 -0.02723 -0.97991  0.003067  0.000908  0.000192     3.377
   1.84544  0.80771 -0.02537 -0.97628  0.003306  0.000928  0.000097     3.561
   1.86230  0.82446 -0.02348 -0.97301  0.003589  0.000947  0.000012     3.791
   1.87915  0.84120 -0.02155 -0.97015  0.003937  0.000963 -0.000060     4.088
   1.89599  0.85793 -0.01959 -0.96765  0.004338  0.000978 -0.000107     4.435
   1.91281  0.87462 -0.01759 -0.96553  0.004800  0.000991 -0.000129     4.842
   1.92958  0.89128 -0.01556 -0.96383  0.005324  0.001002 -0.000134     5.311
   1.94627  0.90784 -0.01350 -0.96254  0.005898  0.001012 -0.000131     5.831
   1.96279  0.92422 -0.01142 -0.96158  0.006518  0.001019 -0.000126     6.400
   1.97896  0.94026 -0.00934 -0.96090  0.007164  0.001024 -0.000121     6.998
   1.99450  0.95567 -0.00731 -0.96041  0.007803  0.001028 -0.000118     7.594
   2.00895  0.96999 -0.00539 -0.96006  0.008396  0.001030 -0.000116     8.148
   2.02185  0.98277 -0.00365 -0.95977  0.008889  0.001033 -0.000114     8.606
   2.03290  0.99372 -0.00214 -0.94843  0.009284  0.001166 -0.000102     7.961
   2.03924  1.00000 -0.00126 -0.92930  0.009522  0.001411 -0.000086     6.749
   2.03924  1.00010  0.00000  0.92930  0.019147  0.005599  0.000000     3.420
   2.04558  1.00644  0.00001  0.92383  0.018166  0.005776  0.000000     3.145
   2.05301  1.01387  0.00004  0.91852  0.016923  0.005945  0.000000     2.847
   2.06172  1.02258  0.00010  0.91470  0.015543  0.006063  0.000000     2.564
   2.07194  1.03279  0.00019  0.91303  0.014085  0.006112  0.000000     2.304
   2.08391  1.04476  0.00032  0.91400  0.012621  0.006085  0.000000     2.074
   2.09794  1.05880  0.00049  0.91768  0.011232  0.005989  0.000000     1.876
   2.11440  1.07525  0.00073  0.92364  0.009985  0.005843  0.000000     1.709
   2.13369  1.09454  0.00105  0.93105  0.008917  0.005676  0.000000     1.571
   2.15630  1.11715  0.00146  0.93903  0.008034  0.005508  0.000000     1.458
   2.18282  1.14366  0.00200  0.94687  0.007319  0.005354  0.000000     1.367
   2.21390  1.17473  0.00269  0.95417  0.006745  0.005219  0.000000     1.292
   2.25033  1.21116  0.00359  0.96076  0.006285  0.005103  0.000000     1.232
   2.29305  1.25386  0.00473  0.96662  0.005917  0.005005  0.000000     1.182
   2.34313  1.30391  0.00618  0.97177  0.005623  0.004921  0.000000     1.143
   2.40184  1.36259  0.00801  0.97629  0.005389  0.004850  0.000000     1.111
   2.47066  1.43138  0.01033  0.98022  0.005204  0.004790  0.000000     1.086
   2.55135  1.51201  0.01323  0.98362  0.005059  0.004739  0.000000     1.067
   2.64594  1.60654  0.01686  0.98653  0.004945  0.004697  0.000000     1.053
   2.75683  1.71734  0.02138  0.98901  0.004856  0.004661  0.000000     1.042
   2.88683  1.84722  0.02697  0.99109  0.004787  0.004631  0.000000     1.034
   3.03924  1.99947  0.03388  0.99297  0.004731  0.004605  0.000000     1.027
