#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.86621  0.007186  0.004206  0.001585     1.708
   0.00715  0.99287  0.00052  0.87942  0.006596  0.003970  0.001793     1.661
   0.02086  0.97924  0.00196  0.90389  0.005687  0.003578  0.002190     1.589
   0.03644  0.96375  0.00370  0.92699  0.004992  0.003249  0.002575     1.536
   0.05250  0.94778  0.00539  0.94274  0.004583  0.003038  0.002833     1.509
   0.06875  0.93161  0.00702  0.95330  0.004330  0.002896  0.002997     1.495
   0.08511  0.91533  0.00863  0.96161  0.004139  0.002783  0.003119     1.487
   0.10149  0.89903  0.01027  0.96918  0.003971  0.002680  0.003229     1.482
   0.11784  0.88277  0.01194  0.97642  0.003815  0.002584  0.003335     1.477
   0.13419  0.86651  0.01365  0.98374  0.003663  0.002489  0.003444     1.472
   0.15054  0.85025  0.01540  0.99106  0.003517  0.002397  0.003555     1.467
   0.16691  0.83398  0.01718  0.99836  0.003376  0.002307  0.003667     1.463
   0.18328  0.81771  0.01900  1.00563  0.003241  0.002220  0.003779     1.460
   0.19966  0.80144  0.02086  1.01306  0.003108  0.002134  0.003895     1.457
   0.21605  0.78516  0.02273  1.02047  0.002980  0.002050  0.004010     1.454
   0.23244  0.76888  0.02464  1.02824  0.002853  0.001965  0.004133     1.452
   0.24885  0.75258  0.02657  1.03603  0.002731  0.001883  0.004253     1.450
   0.26527  0.73628  0.02851  1.04395  0.002612  0.001802  0.004371     1.450
   0.28171  0.71996  0.03047  1.05215  0.002497  0.001721  0.004488     1.451
   0.29815  0.70363  0.03243  1.06015  0.002391  0.001644  0.004584     1.455
   0.31459  0.68731  0.03438  1.06844  0.002290  0.001567  0.004665     1.461
   0.33102  0.67100  0.03634  1.07654  0.002200  0.001493  0.004703     1.473
   0.34744  0.65469  0.03827  1.08468  0.002124  0.001422  0.004683     1.493
   0.36384  0.63840  0.04019  1.09285  0.002065  0.001354  0.004571     1.525
   0.38023  0.62212  0.04209  1.10087  0.002035  0.001289  0.004305     1.579
   0.39660  0.60586  0.04396  1.10916  0.002050  0.001228  0.003813     1.670
   0.41295  0.58961  0.04578  1.11857  0.002140  0.001167  0.003002     1.833
   0.42928  0.57338  0.04756  1.13267  0.002347  0.001095  0.001874     2.142
   0.44557  0.55718  0.04928  1.15810  0.002695  0.000985  0.000802     2.736
   0.46183  0.54100  0.05092  1.19555  0.003079  0.000832  0.000058     3.699
   0.47805  0.52485  0.05248  1.20920  0.003216  0.000778 -0.000105     4.131
   0.49424  0.50873  0.05394  1.21309  0.003167  0.000764 -0.000111     4.145
   0.51040  0.49263  0.05529  1.21716  0.003027  0.000749 -0.000082     4.041
   0.52654  0.47654  0.05653  1.22152  0.002846  0.000733 -0.000022     3.880
   0.54265  0.46046  0.05763  1.22630  0.002652  0.000717  0.000069     3.700
   0.55876  0.44439  0.05860  1.23154  0.002464  0.000699  0.000190     3.524
   0.57485  0.42832  0.05944  1.23719  0.002293  0.000681  0.000331     3.368
   0.59093  0.41225  0.06013  1.24311  0.002142  0.000662  0.000484     3.237
   0.60700  0.39619  0.06068  1.24906  0.002013  0.000643  0.000635     3.133
   0.62306  0.38014  0.06107  1.25491  0.001904  0.000624  0.000779     3.051
